id,label,definition
ก๑,– ก ๑๓๐ กายและส่วนของกาย,
ก๑,– ก๑๒ กาย,
ก๑,คำที่หมายถึงกาย,
ก๑_1,"กาย; กายา, พบู (กวี)","ส่วนที่เป็นรูปร่างทั้งหมดของบุคคล เช่น ประดับกายงดงาม, สุขกายสบายใจ"
ก๑_2,"ร่างกาย; พระวรกาย (ราชา); กรชกาย, กรัชกาย, สกนธ์, สรีระ (กวี)","กายมักใช้ในแง่ที่ประกอบด้วยเลือดเนื้อ ฯลฯ เช่น ร่างกายแข็งแรง, ทรงรู้สึกลำบากพระพระกรัชกาย, เผาสรีระให้มอดไหม้"
ก๑_3,ตัว,กาย [มักใช้ในแง่ที่จับต้องและเคลื่อนไหวได้] เช่นเอาตัวไป; ส่วนของตัวที่ไม่ใช่หัวและแขนขา เช่น เห็นแต่ขาไม่เห็นตัว; ตนเอง เช่น ตามใจตนเอง ตัวตนร่างที่มีอยู่จริง เช่น ไม่มีตัวตนอยู่ในโลก
ก๑_4,เนื้อตัว,กาย [มักใช้ในแง่ที่จับต้องและมองเห็นได้] เช่น เนื้อตัวสกปรก
ก๑_5,ร่าง,กายที่มองเห็น เช่น ร่างดำทะมึน
ก๑_6,สังขาร,ร่างกายซึ่งจะต้องเสื่อมโทรมแตกดับไป เช่น ไม่เจียมสังขาร
ก๑_7,"สรรพางค์, สรรพางค์กาย, สารพางค์, สารพางค์กาย (กวี)",ร่างกายทั้งหมด เช่น เจ็บปวดทั่วสรรพางค์
ก๒,ร่างคนตาย กระดูก และเถ้า,
ก๒_1,"ศพ; พระบรมศพ (ราชา:กษัตริย์); พระศพ (ราชา:เจ้านาย); อสภ, อาสภ (กวี); อสุภ (เขียน, กวี)","ร่างคนที่ตายแล้ว เช่น ศพผู้เสียชีวิต, ควันลอยขึ้นจากอสุภที่กำลังเผา"
ก๒_2,ซาก,"ร่างคนหรือสัตว์ที่ตายจนแห้งเหลือต่เค้า เช่น เขาหายไปไม่เห็นซาก, ซากหนูตาย; สิ่งก่อสร้างที่หักพังเหลือแต่เค้า เช่น ซากปราสาทเก่า"
ก๒_3,ซากศพ,ซากคนที่ตายแล้ว เช่น ซากศพผู้เสียชีวิต
ก๒_4,"กเลวระ, กเลวระร่าง, กเฬวราก (เขียน, กวี)",ร่างกาย; ซากศพ เช่นวิญญาณละทิ้งกเลวระไป
ก๒_5,อัฐิ; พระอัฐิ (ราชา),กระดูกคนที่เผาแล้ว
ก๒_6,"พระบรมธาตุ, พระบรมสารีริกธาตุ",กระดูกพระพุทธเจ้า
ก๒_7,พระธาตุ,กระดูกพระอรหันต์
ก๒_8,"เถ้ากระดูก; พระสรีรางคาร, พระอังคาร (ราชา)",เถ้าสีขาวที่เหลือจากการเผาศพ
ก๒_9,กองฟอน,กองขี้เถ้าที่เผาศพแล้ว
ก๓,รูปกาย,
ก๓_1,"รูปกาย, รูปลักษณ์","ลักษณะร่างกายที่เห็น เช่นอย่างยึดติดกับรูปกายภายนอก, มีรูปลักษณ์ยวนใจ"
ก๓_2,หุ่น (ปาก),"รูปร่าง [มักใช้ในแง่ดี] เช่น หุ่นอาเสี่ย, หุ่นดี"
ก๓_3,ทรวดทรง,รูปร่างที่น่าดู เช่น อ้วนจนไม่มีทรวดทรง
ก๓_4,สัณฐาน,ทรวดทรง [ใช้เฉพาะ] เช่น สาวน้อยรูปทรงส่งสัณฐาน; ลักษณะ เช่น โลกมีสัณฐานกลม
ก๓_5,"รูปโฉม, รูปโฉมโนมพรรณ",รูปกาย [มักมีนัยว่างาม] เช่น รูปโฉมงดงาม
ก๓_6,เรือนร่าง,"ร่างที่จับต้องได้ [มักมีนัยว่าน่าดู] เช่น มีเรือนร่างงดงาม, ลูบไล้ไปทั่วเรือนร่าง"
ก๓_7,สารรูป,รูปกาย [มักมีนัยว่าไม่น่าดู] เช่น สารรูปดูไม่ได้
ก๓_8,"รูปพรรณ, รูปพรรณสัณฐาน","ลักษณะของคนหรือสัตว์ใหญ่ที่ทำให้สังเกตเห็นได้ว่าเป็นใครหรืออะไร เช่น รูปพรรณคนร้าย, ถ้าระบุรูปพรรณสัณฐานชัดเจนก็จะติดตามคนร้ายได้ง่ายขึ้น"
ก๓_9,"รูป, ร่าง, รูปร่าง, ทรง, รูปทรง","ดูความหมายใน ท๑๑, ท๔๐, ท๔๓"
ก๔,– ก ๗ ลักษณะรูปกาย,
ก๔,ขนาด,
ก๔_1,"กระจิ๊ด, กระจิ๋ว, กระจิ๋วหลิว, กระจิดริด, กะจ้อยร่อย, กะจิ๊ด, กะจิ๊ดริด, กะจิริด, กะจิ๋วหลิว, กะติ๊ด, จ้อย, จิ๊ด, จิ๋ว, ติ๊ด, นิด, เล็ก, เล็กบาง, กะทัดรัด, กำลังดี, ได้ส่วน, ได้ส่วนสัด, สมส่วน, แบบบาง, ปานกลาง, โต, เบ้อเร่อ, เบ้อเร่อเท่อ, เบ้อเร่อเบ้อร่า, เบ้อเริ่ม, เบ้อเริ่มเทิ่ม, เบิ้ม, ใหญ่",ดูความหมายใน ท๑๘๒
ก๔_2,"กำยำ, ล่ำสัน",ใหญ่โตแข็งแรง
ก๔_3,"กะเปี๊ยก, เปี๊ยก",เล็กมาก [มักใช้แก่เด็ก]
ก๔_4,"แน่งน้อย, อรชร, อ้อนแอ้น, เอวบาง,ร่างน้อย",แบบบาง [มักใช้แก่ผู้หญิง]
ก๔_5,สันทัด,ไม่เล็กไม่ใหญ่ ไม่เตี้ยไม่สูง
ก๔_6,ซ่อนรูป,ใหญ่ดูเป็นเล็ก
ก๔_7,กล้องแกล้ง,เอวเล็กบาง [ใช้แก่ผู้ชายมีนัยว่าเจ้าชู้]
ก๕,ความอ้วนและความผอม,
ก๕_1,"อ้วน; ทรงพระเจริญ, ทรงพ่วงพี (ราชา)","มีเนื้อและมักจะมีมันมาก มีหลายแบบ เช่น อ้วนกะปุ๊กลุก, อ้วนจ้ำม่ำ, อ้วนฉุ, อ้วนตะลุกปุ๊ก, อ้วนตุ๊ต๊ะ, อ้วนตุ้มต๊ะตุ้มตุ้ย, อ้วนท้วน, อ้วนปั้ก, อ้วนปุ๊ก, อ้วนเผละ, อ้วนพี, อ้วนมั่กกั้ก, อ้วนมั่กขั้ก, อ้วนล่ำ, อ้วนอั้นตั้น, อ้วนอุ้ยอ้าย"
ก๕_2,ท้วม,มีเนื้อมากกว่ามาตรฐานเล็กน้อย
ก๕_3,สมบูรณ์,มีเนื้อมาก ดูสุขภาพดี [มักใช้เพื่อเลี่ยงคำว่าอ้วน]
ก๕_4,เจ้าเนื้อ,มีเนื้อมาก [มักใช้แก่เด็ก]
ก๕_5,อวบ,"มีเนื้อมากและแน่นน่าดู มีหลายแบบ เช่น อวบอัด, อวบอั๋น, อวบอิ่ม, อวบอ้วน"
ก๕_6,พ่วงพี,ล่ำสันแข็งแรง
ก๕_7,"ตุ้ยนุ้ย, อุ้ยยุ้ย",อ้วนท้องพลุ้ย
ก๕_8,ล่ำ,อุดมด้วยกล้ามเนื้อ เช่น ตัวล่ำบึ๊ก
ก๕_9,ผอม; ซูบพระองค์ (ราชา),"มีเนื้อน้อยมีหลายแบบ เช่น ผอมกงโก้, ผอมกะหร่อง, ผอมเกร็ง, ผอมโกโรโกรก, ผอมโซ, ผอมบาง, ผอมแห้ง"
ก๕_10,"ซูบผอม, ผ่ายผอม",ผอมลง
ก๕_11,"ผอมโกรก, ผอมโกร๊ก",น้ำหนักลดอย่างรวดเร็ว
ก๕_12,ซูบ,ดูผอมกว่าเดิม
ก๕_13,ซูบซีด,ดูผอมกว่าเดิมและไม่มีเลือดฝาด
ก๕_14,บักโกรก (ปาก),ซูบผอมเพราะทำงานหนักเกินไป
ก๕_15,"เพรียว, เพรียวลม",ทีรูปร่างเรียวบาง [มีนัยชื่นชม]
ก๕_16,สะโอดสะอง,ผอมและค่อนข้างสูง
ก๕_17,หย็องกรอด (ปาก),ผอมมากและตัวเล็กดูไม่แข็งแรง
ก๕_18,ขี้ก้าง (ปาก),ผอมจนเห็นซี่โครงเป็นซี่ๆ
ก๖,ความสูงและความเตี้ย,
ก๖_1,"สูง, เตี้ย",ดูความหมายใน ท๒๔๖
ก๖_2,ระหง,"สูงและดูงาม เช่น ร่างระหง, สูงระหง"
ก๖_3,แคระ,เตี้ยเล็กผิดปรกติ เช่น คนเผ่านี้รูปร่างเตี้ยแคระ สูงเพียง ๔ ฟุต
ก๖_4,แกร็น,เล็กและเตี้ยเพราะไม่เติบโตตามปรกติ เช่น เด็กๆ ผอมแกร็นเพราะขาดอาหาร
ก๗,ความงามและความไม่งาม,
ก๗_1,โฉม,"ความงาม เช่น เลอโฉม, ทรงโฉมสิริโสภาคย์"
ก๗_2,งาม,"ลักษณะที่ชวนพึงใจ เช่น ตางาม, ใจงาม มีหลายแบบ เช่น งามสง่า, งามผ่อง, งามผุดผาด, งามสดใส, งามเปล่งปลั่ง, งามจับจิตจับใจ, งามจับใจ, งามจับตา, งามจับตาจับใจ, งามเฉิดฉาย, งามละมุนละไม, งามคมคาย, งามผาด, งามพิศ, งามอย่างเยือกเย็น, งามน่ารัก, งามยวนตา, งามพึงตา, งามสะดุดตา, งามแฉล้ม, งามไฉไล, งามพิลาส, งามเลิศ, งามสุดซึ้ง, งามพริ้งเพรา, งามประหลาด, งามชวนให้เพ่งพิศ"
