id,label,definition
ง ๑, ง ๑๔๒ กิริยาอาการและท่าทาง,ง ๑ 
ง ๑๐๕,กิริยา,ง ๑ กิริยาอาการ
ง ๒,กิริยาที่ใช้หัว,"ผงกศีรษะ, ผงกหัว	เผยอหรือยกหัวขึ้นเล็กน้อย เช่น ผงกศีรษะขึ้นดูผู้ที่เรียก"
ง ๓,กิริยาที่ช้หน้า,ก้มหน้า		คว่ำหน้าลง เช่น ก้มหน้างุดเวลาเดินผ่านครู
ง ๔,กริยาที่ใช้หน้าแสดงความรู้สึก,"ทำหน้า		แสดงความรู้สึกทางใบหน้า เช่น ทำหน้าเจื่อนๆ, ทำหน้าปุเลี่ยนๆ ทำหน้าเหยเก, ทำหน้างง, ทำหน้ากะเรี่ยกะราด, ทำหน้าเลิ่กลั่ก; แสร้งแสดงสีหน้า เช่น ทำหน้าเซ่อ, ทำหน้าตาย"
ง ๕,กิริยาที่ใช้ตา,หรี่ตา		ทำให้ตาแคบเข้า เช่น เขาหรี่ตามองอย่างประเมินราคา
ง ๖,กิริยาที่ใช้จมูก,"ทำจมูกย่น, ย่นจมูก	ทำให้จมูกย่นเข้า"
ง ๗,กิริยาที่ใช้ปาก,ทำปากทำคอ		ทำให้ปากเคลื่อนไหวมากเกินปรกติขณะพูด
ง ๘,กิริยาที่ใช้ลิ้น,เลีย		ดูความหมายใน ย ๒๒
ง ๙,กิริยาที่ใช้ฟัน,ขบฟัน		เอาฟันกดกัน
ง ๑๐,กิริยาที่ใช้หู,"เงี่ยโตสดับ, เงี่ยหูฟัง, ตะแคงหูฟัง, ทรงฟัง, ทรงสดับ, ฟัง, สดับ	ดูความหมายใน ย ๑๐"
ง ๑๑,กิริยาที่ใช้คิ้ว,"ย่นคิ้ว, ย่นหัวคิ้ว		ทำให้คิ้ว ๒ ข้างมาใกล้กัน เช่น เขาย่นคิ้วเข้าหากัน ทำท่าคิด"
ง ๑๒,กิริยาที่ใช้คอ,ชูคอ		ยืดคอขึ้น เช่น นั่งชูคอ
ง ๑๓,กิริยาที่ใช้ไหล่,ห่อไหล่		ทำให้ไหล่คู้เข้า เช่น ห่อไหล่ด้วยความหนาว
ง ๑๔,กิริยาที้แขน,เท้าแขน		ใช้แขนยันไว้กับพื้น เช่น นั่งพับเพียบเท้าแขน
ง ๑๕,ข ง ๒๑ กิริยาที่ใช้มือ,ง ๑๕ การบรรจบฝ่ามือ
ง ๑๖,การทำให้มือเคลื่อนขึ้นหรือลง,"ยกมือ		ทำให้มือเคลื่อนขึ้น เช่น ยกมือไหว้, ยกมือตอบคำถาม"
