source,target,type
ก๑,ก๑_1,broader
ก๑,ก๑_2,broader
ก๑,ก๑_3,broader
ก๑,ก๑_4,broader
ก๑,ก๑_5,broader
ก๑,ก๑_6,broader
ก๑,ก๑_7,broader
ก๒,ก๒_1,broader
ก๒,ก๒_2,broader
ก๒,ก๒_3,broader
ก๒,ก๒_4,broader
ก๒,ก๒_5,broader
ก๒,ก๒_6,broader
ก๒,ก๒_7,broader
ก๒,ก๒_8,broader
ก๒,ก๒_9,broader
ก๓,ก๓_1,broader
ก๓,ก๓_2,broader
ก๓,ก๓_3,broader
ก๓,ก๓_4,broader
ก๓,ก๓_5,broader
ก๓,ก๓_6,broader
ก๓,ก๓_7,broader
ก๓,ก๓_8,broader
ก๓,ก๓_9,broader
ก๔,ก๔_1,broader
ก๔,ก๔_2,broader
ก๔,ก๔_3,broader
ก๔,ก๔_4,broader
ก๔,ก๔_5,broader
ก๔,ก๔_6,broader
ก๔,ก๔_7,broader
ก๕,ก๕_1,broader
ก๕,ก๕_2,broader
ก๕,ก๕_3,broader
ก๕,ก๕_4,broader
ก๕,ก๕_5,broader
ก๕,ก๕_6,broader
ก๕,ก๕_7,broader
ก๕,ก๕_8,broader
ก๕,ก๕_9,broader
ก๕,ก๕_10,broader
ก๕,ก๕_11,broader
ก๕,ก๕_12,broader
ก๕,ก๕_13,broader
ก๕,ก๕_14,broader
ก๕,ก๕_15,broader
ก๕,ก๕_16,broader
ก๕,ก๕_17,broader
ก๕,ก๕_18,broader
ก๖,ก๖_1,broader
ก๖,ก๖_2,broader
ก๖,ก๖_3,broader
ก๖,ก๖_4,broader
ก๗,ก๗_1,broader
ก๗,ก๗_2,broader
ก๗,ก๗_3,broader
ก๗,ก๗_4,broader
ก๗,ก๗_5,broader
ก๗,ก๗_6,broader
ก๗,ก๗_7,broader
ก๗,ก๗_8,broader
ก๗,ก๗_9,broader
ก๗,ก๗_10,broader
ก๗,ก๗_11,broader
ก๗,ก๗_12,broader
ก๗,ก๗_13,broader
ก๗,ก๗_14,broader
ก๗,ก๗_15,broader
ก๗,ก๗_16,broader
ก๗,ก๗_17,broader
ก๗,ก๗_18,broader
ก๗,ก๗_19,broader
ก๗,ก๗_20,broader
ก๑๐,ก๑๐_1,broader
ก๑๐,ก๑๐_2,broader
ก๑๐,ก๑๐_3,broader
ก๑๑,ก๑๑_1,broader
ก๑๑,ก๑๑_2,broader
ก๑๑,ก๑๑_3,broader
ก๑๑,ก๑๑_4,broader
ก๑๑,ก๑๑_5,broader
ก๑๑,ก๑๑_6,broader
ก๑๒,ก๑๒_1,broader
ก๑๒,ก๑๒_2,broader
ก๑๒,ก๑๒_3,broader
ก๑๒,ก๑๒_4,broader
ก๑๒,ก๑๒_5,broader
ก๒๐,ก๒๐_1,broader
ก๒๐,ก๒๐_2,broader
ก๒๐,ก๒๐_3,broader
ก๕๔,ก๕๔_1,broader
ก๕๔,ก๕๔_2,broader
ก๕๔,ก๕๔_3,broader
ก๕๔,ก๕๔_4,broader
ก๒๒,ก๒๒_1,broader
ก๒๒,ก๒๒_2,broader
ก๒๒,ก๒๒_3,broader
ก๒๒,ก๒๒_4,broader
ก๒๒,ก๒๒_5,broader
ก๒๒,ก๒๒_6,broader
ก๒๓,ก๒๓_1,broader
ก๒๓,ก๒๓_2,broader
ก๒๓,ก๒๓_3,broader
ก๒๕,ก๒๕_1,broader
ก๒๕,ก๒๕_2,broader
ก๒๕,ก๒๕_3,broader
ก๒๕,ก๒๕_4,broader
ก๒๕,ก๒๕_5,broader
ก๒๕,ก๒๕_6,broader
ก๒๕,ก๒๕_7,broader
ก๒๕,ก๒๕_8,broader
